page_type,column,layout
100,6,"[[0, 0, 3, 15, 3], [3, 0, 3, 15, 3]]"
101,6,"[[0, 0, 3, 15, 3], [3, 0, 3, 15, 3]]"
100,6,"[[0, 0, 3, 15, 3], [3, 0, 3, 15, 3]]"
101,6,"[[0, 0, 3, 15, 3], [3, 0, 3, 15, 3]]"
100,7,"[[0, 0, 4, 8, 2], [4, 0, 3, 12, 3], [0, 8, 3, 7], [3, 8, 1, 4], [3, 12, 4, 3]]"
101,7,"[[0, 0, 4, 8, 2], [4, 0, 3, 12, 3], [0, 8, 3, 7], [3, 8, 1, 4], [3, 12, 4, 3]]"
101,7,"[[0, 0, 4, 8, 2], [4, 0, 3, 8, 2], [0, 8, 3, 7], [3, 8, 4, 7, 2]]"
100,7,"[[0, 0, 4, 15, 3], [4, 0, 3, 15, 3], [0, 12, 2, 3]]"
100,6,"[[0, 0, 4, 13, 3], [4, 0, 2, 15, 4], [0, 13, 2, 2], [2, 13, 2, 2]]"
100,7,"[[0, 0, 4, 11, 2], [4, 0, 3, 15, 4], [0, 11, 2, 4], [2, 11, 2, 4]]"
101,7,"[[0, 0, 4, 11, 2], [4, 0, 3, 15, 4], [0, 11, 2, 4], [2, 11, 2, 4]]"
100,7,"[[0, 0, 4, 15, 3], [4, 0, 3, 15, 4]]"
101,7,"[[0, 0, 4, 15, 3], [4, 0, 3, 15, 4], [0, 13, 2, 2]]"
100,7,"[[0, 0, 4, 15, 3], [4, 0, 3, 11, 3], [4, 11, 1, 4], [5, 11, 2, 4]]"
101,7,"[[0, 0, 4, 15, 3], [4, 0, 3, 11, 3], [4, 11, 1, 4], [5, 11, 2, 4]]"
101,7,"[[0, 0, 4, 15, 3], [4, 0, 3, 15, 4]]"
101,6,"[[0, 0, 2, 15, 4], [2, 0, 2, 15, 4], [4, 0, 2, 15, 4]]"
101,6,"[[0, 0, 4, 15, 3], [4, 0, 2, 15, 4]]"
100,6,"[[0, 0, 4, 15, 3], [4, 0, 2, 15, 4]]"
100,6,"[[0, 0, 4, 11, 2], [4, 0, 2, 15, 5], [0, 8, 3, 4], [3, 8, 1, 4]]"
100,7,"[[0, 0, 4, 15, 3], [4, 0, 3, 15, 4], [0, 13, 2, 2]]"
